Device ID	Device Name
A123456789012345678901234567890123456789	NAME1
B123456789012345678901234567890123456789	NAME2


0456fd57faaec3d029f87b5a4f16b28fbcdd6d30        1
065800a5f235260337db0e0a4d7f7aabd4470003        2
06efb25e1428f1a374485dee77daa0db819aef5b        3
1089fbb8f513febde64187b00d4395756b1131da        4
12f2128b6482d8c594986b52e8cfab50564c4ed1        5
152cb113c35f5617e5b6a3f9600bcf18f6ee9e72        6
1a4b11dcc1800ae297ff99c90fd6170973a1dedf        7
21bc35b63a712b9692b8dea28d5b560298dceb2b        8
2a56aa770b08feb0af8f1fc12b48864245b82109        9
3197c7062d36f6e66cf09092ebb4da21b4de5d14        10
3686e66803319308b8b4f7ccefe5b9fc623bd1b5        11
3b5dd6cef99b79d89fc6b009b03e7ac498850496        12
3f9e5860c7f102b5a477080605261aff111fb5df        13
40ac50f5251f4980fccda7864c4e2aedc49471c2        14
45546825699b21e83841cef3b42191ca004ab7a3        15
469f3499a7095d268438ef89e1ccfc74188e7a47        16
494907e81ce62dde0e5e11976bc3556ca96733c4        17
4a2e156c1f784429c1c674520a5dba4b4f5d1cc4        18
5e3359534d143ac7d415139d63dfee6376c080e0        19
5f17b901c1362a38cf2e0aef5592b2354dc0d7c7        20
66066969ba20248d583358ae36cd56172238cc57        21
66882b14aaebf898bbdaa87228cdf2c1446c1470        22
6e9b7d7fc38f29cbc90b12365b7a806b2f0ac17a        23 
70d10f6ba91916f762089a6ab81a75e1fc6a5742        24
71985e4bd530b9407489ee25ad2e10ba2fb546b2        25
74a7fd843d37f28e1ca18c01dc610be5dfc35dfa        26
77f3bfe1dc9d7b74c7941040cf5f5b52ade57ef6        27 
79087fef2c9e250489a4abe4e64be0f70d38b5b1        28
7915758256dff0cf8ec073cde1efde131b50c011        29
7fe56906c32f47c3b51ee0a12bcda7c9daa5a40b        30
8109d88cc212f3768bf0ee012f675ede9c35ab9d        31 
82378b55ad95ba26804c87cbf5dea28ec1da860e        32
863f7c6252a7346cfd4f696a325aa228971d0b42        33
894c9a03bf3950f6bf86447cc288d96c2aa49972        34
8a045ae011b8f14111b4c92df3dae20f805d1197        35
8a45764b570f9d60ccabbdd831167c39b5351b1e        36
8e87eb05e63a7baf24aee5eb6ce2f30242c62572        37
8cc2e27a617d925d8137f6d91ecc117d18fe4cb5        38
9166e53b938582dd1665c4377b1113664a37312d        39
961c6b015a9e5dbb43929f8f5e2de52f0548f979        40 
97ec38e6372099b6e08af174c35f6f4c6230e1a8        41
99dcbc8c829f5110b8cd852088d17ac6b1f2f8c8        42
99fd6a0dca935a6751b7ffc41018a86204dab6f8        43
a9cee19a32ce4907bac5aee7c883295e8b9484ca        44
ab4404d162372719248c87cd14ebeaa0ca237c4b        45
ae63bed5af0c329e42e00b7046a77c09ee0204fd        46
b3bcbc8195fba553aa61dbd3898ec531b06a0192        47
b3c2cf006ab8d51623add3ba8413bc104fcff469        48
b9aa5c04ea45c6f6edd45435c7cb79da102b2f44        49
be6ab480be00cfb264382e6c2b0e07795fcb0ff2        50
bfb2d26b8d627a0aec6c4726db59b72c9d84bf3e        51
c22db674bc16ed40adad115577b71e2da0108df5        52
c48fe021ae428b8e91c7202ae22a2b2c709dbe33        53
c7fa0700ee16980ac41b43711a44a75611f8d03c        54
c844d6d8954a276a928cec0a8a8806659bdc6aea        55
c932c9b97cda86b27ad4da21c15011f36f8b4bcc        56
d07beb3e6e6c23403951b2894b9c19e8271e94d3        57
d4fe28fb8ff6da87c960a97643483f99909c6671        58
daf92e6098c33d5069d3167e3eba6b6cc70f92f7        59
f511a1f8a59a715609142a9403d6a5fc0b00d54f        60
fb4fcdf218c0976c89576eeabec9c44c03c00aef        61
